BUYER_ID,SECTION,CATEGORY,BRAND,SUBCATEGORY_BEFORE,SUBCATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010003180097,CHILLER,1114 - ISOTONIC DRINK,HYDRO COCO,1114A - ISOTONIC DRINK PET 100-250ML,1114C - ISOTONIC DRINK PET 450-500ML,SWITCH,NON PROMO
MEM_9990010003180097,HOUSE HOLD,3516 - DISHWASHING CLEANER,MAMA,3516C - DISHWASHING CLEANER 600-800ML,3516C - DISHWASHING CLEANER 600-800ML,NO_SWITCH,PROMO
MEM_9990010003180097,HOUSE HOLD,3611 - AEROSOL INSECTICIDES,HIT,3611A - AEROSOL INSECTICIDES 600-700ML,3611A - AEROSOL INSECTICIDES 600-700ML,NO_SWITCH,PROMO
MEM_9990010003180097,PERSONAL CARE,3222 - BEAUTY LIQUID SOAP,GIV,3222D - BEAUTY LIQUID SOAP 300-600ML,3222D - BEAUTY LIQUID SOAP 300-600ML,NO_SWITCH,PROMO
MEM_9990010003180097,STAPLE NEED,1521 - PALM COOKING OIL,SUNCO,1521C - PALM COOKING OIL POUCH 1800-2000ML,1521C - PALM COOKING OIL POUCH 1800-2000ML,NO_SWITCH,PROMO
MEM_9990010003198583,BISC & CONFECTIONARY,2227 - WAFER BISCUIT,WAFELLO,2227D - WAFER BISCUIT 100-145G,2227D - WAFER BISCUIT 100-145G,NO_SWITCH,NON PROMO
MEM_9990010003366885,CHILLER,1116 - VITAMIN DRINK,YOU C1000,1116A - VITAMIN DRINK 100-150ML,1116A - VITAMIN DRINK 100-150ML,NO_SWITCH,PROMO
MEM_9990010003566100,CHILLER,6212 - YOGHURT,CIMORY,6212C - YOGHURT LIQUID 100-330ML,6212C - YOGHURT LIQUID 100-330ML,NO_SWITCH,NON PROMO
MEM_9990010003566100,HOUSE HOLD,3724 - IRONING,KISPRAY,3724D - IRONING BTL 300-500ML,3724D - IRONING BTL 300-500ML,NO_SWITCH,NON PROMO
MEM_9990010003569732,BEVERAGES,2023 - TETRAPACK LIQUID MILK,GREENFIELDS,2023D - TETRAPAK LIQUID MILK 900-1000ML,2023D - TETRAPAK LIQUID MILK 900-1000ML,NO_SWITCH,PROMO
MEM_9990010003569732,BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,NARAYA,2222F - HEALTHY COOKIES BISCUIT,2222F - HEALTHY COOKIES BISCUIT,NO_SWITCH,NON PROMO
MEM_9990010003569732,BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,UBM,2223E - CRACKER BISCUIT 300-400G,2223E - CRACKER BISCUIT 300-400G,NO_SWITCH,NON PROMO
MEM_9990010003569732,BREAKFAST,2021 - SWEETENED CONDENSED MILK,FRISIAN FLAG,2021B - SWEETENED CONDENSED MILK POUCH,2021B - SWEETENED CONDENSED MILK POUCH,NO_SWITCH,PROMO
MEM_9990010003569732,CHILLER,1113 - MINERAL WATER,PRISTINE,1113I - FUNCTIONAL DRINK,1113I - FUNCTIONAL DRINK,NO_SWITCH,PROMO
MEM_9990010003569732,MEJA KASIR,4633 - LEISURE BAG,ALFAMART,4633A - LEISURE BAG,4633A - LEISURE BAG,NO_SWITCH,NON PROMO
MEM_9990010003569732,NOODLE,1911 - INSTANT NOODLE BAG,SEDAAP,1911E - INSTANT NOODLE BANDED,1911E - INSTANT NOODLE BANDED,NO_SWITCH,PROMO
MEM_9990010003569732,STAPLE NEED,1512 - SUGAR,ROSE BRAND,1512C - SUGAR BAG 1KG,1512C - SUGAR BAG 1KG,NO_SWITCH,NON PROMO
MEM_9990010003602438,BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),CHIEF,2411A - SKT (SIGARET KRETEK TANGAN) 10-12,2411A - SKT (SIGARET KRETEK TANGAN) 10-12,NO_SWITCH,NON PROMO
MEM_9990010003661497,MEJA KASIR,4633 - LEISURE BAG,ALFAMART,4633A - LEISURE BAG,4633A - LEISURE BAG,NO_SWITCH,PROMO
MEM_9990010003664194,CHILLER,2023 - TETRAPACK LIQUID MILK,CIMORY,2023C - TETRAPAK LIQUID MILK 220-250ML,2023C - TETRAPAK LIQUID MILK 220-250ML,NO_SWITCH,NON PROMO
MEM_9990010003664194,HOUSE HOLD,3615 - ELECTRIC INSECTICIDES,VAPE,3615A - ELECTRIC INSECTICIDES LIQUID,3615A - ELECTRIC INSECTICIDES LIQUID,NO_SWITCH,NON PROMO
MEM_9990010003676474,BISC & CONFECTIONARY,2227 - WAFER BISCUIT,RICHEESE,2227D - WAFER BISCUIT 100-145G,2227D - WAFER BISCUIT 100-145G,NO_SWITCH,NON PROMO
MEM_9990010003676474,BISC & CONFECTIONARY,2227 - WAFER BISCUIT,WAFELLO,2227D - WAFER BISCUIT 100-145G,2227D - WAFER BISCUIT 100-145G,NO_SWITCH,NON PROMO
MEM_9990010003691900,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911A - INSTANT FRIED NOODLE 65-100G,1911E - INSTANT NOODLE BANDED,SWITCH,PROMO
MEM_9990010003691900,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911B - INSTANT BOILED NOODLE 50-99G,1911E - INSTANT NOODLE BANDED,SWITCH,PROMO
MEM_9990010003691900,STAPLE NEED,1512 - SUGAR,ROSE BRAND,1512C - SUGAR BAG 1KG,1512C - SUGAR BAG 1KG,NO_SWITCH,NON PROMO
MEM_9990010003692090,CHILLER,1113 - MINERAL WATER,LE MINERALE,1113D - MINERAL WATER PET 1-1.5L,1113D - MINERAL WATER PET 1-1.5L,NO_SWITCH,PROMO
MEM_9990010003692090,CHILLER,1154 - RTD TEA,PUCUK HARUM,1154D - RTD TEA PET 250-420ML,1154D - RTD TEA PET 250-420ML,NO_SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,3513 - TOILET CLEANER,YURI,3513C - TOILET CLEANER 700-1000ML,3513C - TOILET CLEANER 700-1000ML,NO_SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,3516 - DISHWASHING CLEANER,MAMA,3516C - DISHWASHING CLEANER 600-800ML,3516C - DISHWASHING CLEANER 600-800ML,NO_SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,3714 - LIQUID DETERGENT,RINSO,3714B - LIQUID DETERGENT 400-900ML,3714B - LIQUID DETERGENT 400-900ML,NO_SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,3714 - LIQUID DETERGENT,SOKLIN,3714B - LIQUID DETERGENT 400-900ML,3714B - LIQUID DETERGENT 400-900ML,NO_SWITCH,PROMO
MEM_9990010003692090,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911B - INSTANT BOILED NOODLE 50-99G,1911A - INSTANT FRIED NOODLE 65-100G,SWITCH,NON PROMO
MEM_9990010003692090,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911B - INSTANT BOILED NOODLE 50-99G,1911B - INSTANT BOILED NOODLE 50-99G,NO_SWITCH,NON PROMO
MEM_9990010003692090,PERSONAL CARE,3211 - SHAMPOO,SERASOFT,3211C - SHAMPOO 130-250ML,3211C - SHAMPOO 130-250ML,NO_SWITCH,PROMO
MEM_9990010003692090,PERSONAL CARE,3222 - BEAUTY LIQUID SOAP,K NATURAL,3222D - BEAUTY LIQUID SOAP 300-600ML,3222D - BEAUTY LIQUID SOAP 300-600ML,NO_SWITCH,PROMO
MEM_9990010003692090,PERSONAL CARE,3225 - HAND SOAP,ALFAMART,3225B - HAND SOAP REFFIL,3225B - HAND SOAP REFFIL,NO_SWITCH,PROMO
MEM_9990010003692090,SANITARY ADULT,3321 - SANITARY NAPKINS WINGS,CHARM,3321B - SANITARY NAPKINS WINGS 10-19S,3321B - SANITARY NAPKINS WINGS 10-19S,NO_SWITCH,PROMO
MEM_9990010003692090,SNACK,2211 - PEANUTS,GARUDA,2211C - PEANUTS 100-190G,2211C - PEANUTS 100-190G,NO_SWITCH,PROMO
MEM_9990010003692090,STAPLE NEED,1521 - PALM COOKING OIL,TROPICAL,1521G - PALM COOKING OIL BOTTLE 2L,1521G - PALM COOKING OIL BOTTLE 2L,NO_SWITCH,PROMO
MEM_9990010003801789,HOUSE HOLD,3615 - ELECTRIC INSECTICIDES,HIT,3615B - ELECTRIC INSECTICIDES MAT,3615B - ELECTRIC INSECTICIDES MAT,NO_SWITCH,NON PROMO
MEM_9990010003801789,MEDICINE & BABY CARE,3131 - TRADITIONAL & CHINESE,SIDOMUNCUL,3131A - TRADITIONAL & CHINESE 10-40ML,3131A - TRADITIONAL & CHINESE 10-40ML,NO_SWITCH,PROMO
MEM_9990010003851400,ICE CREAM,6242 - IMPULSE ICE CREAM,WALL'S,6242B - IMPULSE STICK,6242C - IMPULSE CUP,SWITCH,NON PROMO
MEM_9990010003863915,HOUSE HOLD,3714 - LIQUID DETERGENT,SOKLIN,3714B - LIQUID DETERGENT 400-900ML,3714B - LIQUID DETERGENT 400-900ML,NO_SWITCH,PROMO
MEM_9990010003960759,HOUSE HOLD,3513 - TOILET CLEANER,YURI,3513C - TOILET CLEANER 700-1000ML,3513C - TOILET CLEANER 700-1000ML,NO_SWITCH,PROMO
MEM_9990010003960759,HOUSE HOLD,3714 - LIQUID DETERGENT,SOKLIN,3714B - LIQUID DETERGENT 400-900ML,3714B - LIQUID DETERGENT 400-900ML,NO_SWITCH,PROMO
MEM_9990010003960759,TISSUE,3311 - FACIAL TISSUE,ALFAMART,3311B - FACIAL TISSUE PACK >500S,3311B - FACIAL TISSUE PACK >500S,NO_SWITCH,NON PROMO
MEM_9990010003978775,BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,NEXTAR,2222C - COOKIES BISCUIT 61-100G,2222C - COOKIES BISCUIT 61-100G,NO_SWITCH,NON PROMO
MEM_9990010003978775,BREAD CORNER (BC),6611 - BREAD,MY ROTI,6611A - WHITE BREAD,6611D - PULL APART BREAD,SWITCH,NON PROMO
MEM_9990010003978775,CHILLER,1154 - RTD TEA,PUCUK HARUM,1154D - RTD TEA PET 250-420ML,1154L - RTD TEA LESS SUGAR,SWITCH,NON PROMO
MEM_9990010003978775,CHILLER,1156 - RTD COFFEE,KOPI KENANGAN,"1156B - RTD COFFEE CAN, BOTTLE, PET","1156B - RTD COFFEE CAN, BOTTLE, PET",NO_SWITCH,PROMO
MEM_9990010003978775,CHILLER,2023 - TETRAPACK LIQUID MILK,ULTRA,2023A - TETRAPAK LIQUID MILK 100-130ML,2023A - TETRAPAK LIQUID MILK 100-130ML,NO_SWITCH,PROMO
MEM_9990010003978775,SANITARY ADULT,3321 - SANITARY NAPKINS WINGS,CHARM,3321C - SANITARY NAPKINS WINGS 20-30S,3321C - SANITARY NAPKINS WINGS 20-30S,NO_SWITCH,PROMO
MEM_9990010003978775,SANITARY ADULT,3323 - PANTYLINERS,SOFTEX,3323A - PANTYLINERS,3323A - PANTYLINERS,NO_SWITCH,PROMO
MEM_9990010003998229,PERSONAL CARE,3223 - HEALTHY LIQUID SOAP,BIORE,3223D - HEALTHY LIQUID SOAP 300-600ML,3223D - HEALTHY LIQUID SOAP 300-600ML,NO_SWITCH,PROMO
MEM_9990010003998229,SANITARY ADULT,3323 - PANTYLINERS,SOFTEX,3323A - PANTYLINERS,3323A - PANTYLINERS,NO_SWITCH,PROMO
MEM_9990010003998229,TOOTH CARE,3272 - TOOTH PASTE,ENZIM,3272C - ADVANCE CARE TOOTH PASTE,3272C - ADVANCE CARE TOOTH PASTE,NO_SWITCH,PROMO
MEM_9990010004075519,BISC & CONFECTIONARY,2228 - STICK BISCUIT,POCKY,2228C - STICK BISCUIT 36-50G,2228C - STICK BISCUIT 36-50G,NO_SWITCH,PROMO
MEM_9990010004075519,BISC & CONFECTIONARY,2228 - STICK BISCUIT,POCKY,2228C - STICK BISCUIT 36-50G,2228E - STICK BISCUIT 110-350G,SWITCH,NON PROMO
MEM_9990010004075519,BREAD CORNER (BC),1314 - CHEESE,MEG,1314A - CHEESE SLICE,1314A - CHEESE SLICE,NO_SWITCH,PROMO
MEM_9990010004075519,BREAD CORNER (BC),6611 - BREAD,SARI ROTI,6611A - WHITE BREAD,6611A - WHITE BREAD,NO_SWITCH,NON PROMO
MEM_9990010004075519,BREAD CORNER (BC),6611 - BREAD,SARI ROTI,6611D - PULL APART BREAD,6611A - WHITE BREAD,SWITCH,NON PROMO
MEM_9990010004075519,BREAKFAST,1321 - CEREAL,SIMBA,1321B - CEREAL BAG,1321B - CEREAL BAG,NO_SWITCH,PROMO
MEM_9990010004075519,CHILLER,1115 - REMEDIES DRINK,KIRANTI,1115C - REMEDIES DRINK PET 150-350ML,1115C - REMEDIES DRINK PET 150-350ML,NO_SWITCH,PROMO
MEM_9990010004075519,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911B - INSTANT BOILED NOODLE 50-99G,1911B - INSTANT BOILED NOODLE 50-99G,NO_SWITCH,NON PROMO
MEM_9990010004075519,NOODLE,1911 - INSTANT NOODLE BAG,SEDAAP,1911A - INSTANT FRIED NOODLE 65-100G,1911A - INSTANT FRIED NOODLE 65-100G,NO_SWITCH,NON PROMO
MEM_9990010004075519,NOODLE,1911 - INSTANT NOODLE BAG,SEDAAP,1911B - INSTANT BOILED NOODLE 50-99G,1911A - INSTANT FRIED NOODLE 65-100G,SWITCH,NON PROMO
MEM_9990010004075519,SNACK,2212 - POTATOES,JACK'N JILL,2212B - POTATOES 54-85G,2212B - POTATOES 54-85G,NO_SWITCH,NON PROMO
MEM_9990010004075519,SNACK,2212 - POTATOES,MR.POTATO,2212D - POTATOES CAN,2212D - POTATOES CAN,NO_SWITCH,PROMO
MEM_9990010004075519,SNACK,2213 - EXTRUDED & PELLET,SMAX,2213B - EXTRUDED & PELLET 20-49G,2213B - EXTRUDED & PELLET 20-49G,NO_SWITCH,PROMO
MEM_9990010004075519,SNACK,2213 - EXTRUDED & PELLET,WONHAE,2213C - EXTRUDED & PELLET 50-95G,2213C - EXTRUDED & PELLET 50-95G,NO_SWITCH,PROMO
MEM_9990010004075519,STAPLE NEED,1721 - CHILLI,INDOFOOD,1721B - CHILLI PET & BOTTLE 235-275ML,1721B - CHILLI PET & BOTTLE 235-275ML,NO_SWITCH,NON PROMO
MEM_9990010004075519,STAPLE NEED,1721 - CHILLI,INDOFOOD,1721E - TRADITIONAL CHILLI,1721B - CHILLI PET & BOTTLE 235-275ML,SWITCH,NON PROMO
MEM_9990010004075519,STAPLE NEED,1915 - PASTA,WOW,1915B - INSTANT PASTA,1915B - INSTANT PASTA,NO_SWITCH,PROMO
MEM_9990010004076290,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911F - INSTANT FRIED NOODLE >100G,1911F - INSTANT FRIED NOODLE >100G,NO_SWITCH,PROMO
MEM_9990010004284540,BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,DELFI,2331C - ENROBED CHOCOLATE >50G,2331B - ENROBED CHOCOLATE 20-45G,SWITCH,PROMO
MEM_9990010004284540,BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,DELFI,2331C - ENROBED CHOCOLATE >50G,2331C - ENROBED CHOCOLATE >50G,NO_SWITCH,NON PROMO
MEM_9990010004284540,CHILLER,1154 - RTD TEA,NU,1154K - RTD MILK TEA PET,1154K - RTD MILK TEA PET,NO_SWITCH,PROMO
MEM_9990010004284540,CHILLER,2025 - PLANT BASED LIQUID MILK,OATSIDE,2025A - PLANT BASED MILK 190-350ML,2025A - PLANT BASED MILK 190-350ML,NO_SWITCH,NON PROMO
MEM_9990010004284540,NOODLE,1911 - INSTANT NOODLE BAG,INDOMIE,1911A - INSTANT FRIED NOODLE 65-100G,1911A - INSTANT FRIED NOODLE 65-100G,NO_SWITCH,PROMO
